Team,ELO,Aff_ELO,Neg_ELO,Aff_Rounds,Neg_Rounds
Isidore Newman JN,1600,1600,1600,0,0
Isidore Newman WA,1600,1600,1600,0,0
James Logan AA,1600,1600,1600,0,0
James Logan GS,1600,1600,1600,0,0
Jenks HG,1600,1600,1600,0,0
Jesuit BP,1600,1600,1600,0,0
Jesuit CJ,1600,1600,1600,0,0
Jesuit LR,1600,1600,1600,0,0
Jesuit MW,1600,1600,1600,0,0
Jesuit PL,1600,1600,1600,0,0
Johns Creek GV,1600,1600,1600,0,0
Jones FR,1600,1600,1600,0,0
Jones HB,1600,1600,1600,0,0
Katy Taylor CK,1600,1600,1600,0,0
Katy Taylor WW,1600,1600,1600,0,0
Kenwood BH,1600,1600,1600,0,0
Kenwood PW,1600,1600,1600,0,0
Kenwood SW,1600,1600,1600,0,0
Kenwood TW,1600,1600,1600,0,0
Kinkaid AK,1600,1600,1600,0,0
L C Anderson SW,1600,1600,1600,0,0
La Crosse Central BK,1600,1600,1600,0,0
La Crosse Central BL,1600,1600,1600,0,0
La Crosse Central ST,1600,1600,1600,0,0
Lake Balboa BB,1600,1600,1600,0,0
Lake Balboa BG,1600,1600,1600,0,0
Lake Balboa DB,1600,1600,1600,0,0
Lake Balboa DS,1600,1600,1600,0,0
Lake Balboa NM,1600,1600,1600,0,0
Lake Balboa PG,1600,1600,1600,0,0
Lake Balboa PL,1600,1600,1600,0,0
Lake Travis SO,1600,1600,1600,0,0
Lane Tech  CJ,1600,1600,1600,0,0
Lane Tech  GS,1600,1600,1600,0,0
Lane Tech  JK,1600,1600,1600,0,0
Lane Tech  KS,1600,1600,1600,0,0
Lane Tech  RN,1600,1600,1600,0,0
Lane Tech  ZQ,1600,1600,1600,0,0
Langham Creek CT,1600,1600,1600,0,0
Langham Creek EY,1600,1600,1600,0,0
Lansing AW,1600,1600,1600,0,0
Lansing YO,1600,1600,1600,0,0
Lawrence Free State EP,1600,1600,1600,0,0
Lawrence Free State FE,1600,1600,1600,0,0
Lawrence Free State FH,1600,1600,1600,0,0
Lawrence Free State FW,1600,1600,1600,0,0
Lawrence Free State HaFi,1600,1600,1600,0,0
Lawrence Free State HF,1600,1600,1600,0,0
Lawrence Free State PH,1600,1600,1600,0,0
Leland SL,1600,1600,1600,0,0
Leon Goldstein CS,1600,1600,1600,0,0
Lexington HS,1600,1600,1600,0,0
Lexington JV,1600,1600,1600,0,0
Lexington KB,1600,1600,1600,0,0
Lexington LM,1600,1600,1600,0,0
Lexington NJ,1600,1600,1600,0,0
Lexington NS,1600,1600,1600,0,0
Lexington PS,1600,1600,1600,0,0
Lexington SD,1600,1600,1600,0,0
Lexington SiDa,1600,1600,1600,0,0
Lexington WH,1600,1600,1600,0,0
Lexington XB,1600,1600,1600,0,0
Liberal Arts and Science BF,1600,1600,1600,0,0
Liberal Arts and Science BS,1600,1600,1600,0,0
Liberal Arts and Science BV,1600,1600,1600,0,0
Liberal Arts and Science CK,1600,1600,1600,0,0
Liberal Arts and Science LiRa,1600,1600,1600,0,0
Liberal Arts and Science LM,1600,1600,1600,0,0
Liberal Arts and Science LR,1600,1600,1600,0,0
Liberal Arts and Science RL,1600,1600,1600,0,0
Liberal Arts and Science VA,1600,1600,1600,0,0
Lincoln Park BS,1600,1600,1600,0,0
Little Rock Central BF,1600,1600,1600,0,0
Little Rock Central BG,1600,1600,1600,0,0
Little Rock Central BW,1600,1600,1600,0,0
Little Rock Central GT,1600,1600,1600,0,0
Little Rock Central KC,1600,1600,1600,0,0
Little Rock Central LW,1600,1600,1600,0,0
Little Rock Central MK,1600,1600,1600,0,0
Little Rock Central NT,1600,1600,1600,0,0
Little Rock Central TB,1600,1600,1600,0,0
Little Rock Central WC,1600,1600,1600,0,0
Little Rock Central WK,1600,1600,1600,0,0
Lovejoy PW,1600,1600,1600,0,0
Lowell CL,1600,1600,1600,0,0
Lowell SB,1600,1600,1600,0,0
Madison Central AW,1600,1600,1600,0,0
Maine East AJ,1600,1600,1600,0,0
Maine East GR,1600,1600,1600,0,0
Maine East HP,1600,1600,1600,0,0
Maine East JN,1600,1600,1600,0,0
Maine East JW,1600,1600,1600,0,0
Maine East MS,1600,1600,1600,0,0
Maine East RS,1600,1600,1600,0,0
Maine East RU,1600,1600,1600,0,0
Maine East UH,1600,1600,1600,0,0
Maize BR,1600,1600,1600,0,0
Maize CL,1600,1600,1600,0,0
Mamaroneck AT,1600,1600,1600,0,0
Mamaroneck CF,1600,1600,1600,0,0
Mamaroneck GA,1600,1600,1600,0,0
Mamaroneck MK,1600,1600,1600,0,0
Mamaroneck MP,1600,1600,1600,0,0
Mamaroneck MS,1600,1600,1600,0,0
Mamaroneck MT,1600,1600,1600,0,0
Mamaroneck RW,1600,1600,1600,0,0
Mamaroneck SW,1600,1600,1600,0,0
Manhattan AS,1600,1600,1600,0,0
Manhattan BB,1600,1600,1600,0,0
Manhattan HW,1600,1600,1600,0,0
Manhattan TF,1600,1600,1600,0,0
Manhattan TW,1600,1600,1600,0,0
Marist AC,1600,1600,1600,0,0
Marist AR,1600,1600,1600,0,0
Marist CL,1600,1600,1600,0,0
McCallum MV,1600,1600,1600,0,0
McDonogh AH,1600,1600,1600,0,0
McDonogh CM,1600,1600,1600,0,0
McDonogh KL,1600,1600,1600,0,0
McDonogh OB,1600,1600,1600,0,0
McDonogh SP,1600,1600,1600,0,0
McDonogh VB,1600,1600,1600,0,0
McDowell LJ,1600,1600,1600,0,0
Meadows CK,1600,1600,1600,0,0
Meadows GS,1600,1600,1600,0,0
Meadows HS,1600,1600,1600,0,0
Meadows KG,1600,1600,1600,0,0
Meadows KK,1600,1600,1600,0,0
Meadows RK,1600,1600,1600,0,0
Meadows SK,1600,1600,1600,0,0
Melissa NT,1600,1600,1600,0,0
Melissa SM,1600,1600,1600,0,0
Memorial SC,1600,1600,1600,0,0
Mill Valley FP,1600,1600,1600,0,0
Mill Valley HK,1600,1600,1600,0,0
Minneapolis South WB,1600,1600,1600,0,0
Mission Vista FC,1600,1600,1600,0,0
ModernBrain JW,1600,1600,1600,0,0
ModernBrain KL,1600,1600,1600,0,0
ModernBrain LL,1600,1600,1600,0,0
ModernBrain LS,1600,1600,1600,0,0
ModernBrain PP,1600,1600,1600,0,0
ModernBrain SY,1600,1600,1600,0,0
ModernBrain YW,1600,1600,1600,0,0
Montgomery Bell BT,1600,1600,1600,0,0
Montgomery Bell HM,1600,1600,1600,0,0
Montgomery Bell KF,1600,1600,1600,0,0
Montgomery Bell MM,1600,1600,1600,0,0
Montgomery Bell PD,1600,1600,1600,0,0
Montgomery Bell PR,1600,1600,1600,0,0
Montgomery Bell RF,1600,1600,1600,0,0
Montgomery Bell RS,1600,1600,1600,0,0
Montgomery Bell RW,1600,1600,1600,0,0
Montgomery Bell SJ,1600,1600,1600,0,0
Montgomery Bell SL,1600,1600,1600,0,0
Munster BW,1600,1600,1600,0,0
Munster KW,1600,1600,1600,0,0
Munster TP,1600,1600,1600,0,0
New Designs Charter School-University Park CS,1600,1600,1600,0,0
New Designs-University Park CG,1600,1600,1600,0,0
New Designs-University Park SS,1600,1600,1600,0,0
New Trier AnSt,1600,1600,1600,0,0
New Trier ArSh,1600,1600,1600,0,0
New Trier AS,1600,1600,1600,0,0
New Trier CS,1600,1600,1600,0,0
New Trier CT,1600,1600,1600,0,0
New Trier HJ,1600,1600,1600,0,0
New Trier HP,1600,1600,1600,0,0
New Trier HW,1600,1600,1600,0,0
New Trier HY,1600,1600,1600,0,0
New Trier MP,1600,1600,1600,0,0
New Trier NH,1600,1600,1600,0,0
New Trier PY,1600,1600,1600,0,0
New Trier SB,1600,1600,1600,0,0
New Trier ShAn,1600,1600,1600,0,0
New Trier SW,1600,1600,1600,0,0
New Trier SY,1600,1600,1600,0,0
Newark Science AO,1600,1600,1600,0,0
Newark Science OO,1600,1600,1600,0,0
Newark Tech MR,1600,1600,1600,0,0
Newark Tech OB,1600,1600,1600,0,0
